owl_id,site,datetime,audio_id,selec,start,end,segment_length,filepath_audio
A84,有利,2026-03-03 18:58:11 UTC,A84 - 有利 - 2026-03-03 18:58:11 UTC,2,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03030949.wav
A84,有利,2026-03-05 01:09:09 UTC,A84 - 有利 - 2026-03-05 01:09:09 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03050957.wav
A84,有利,2026-03-05 18:47:36 UTC,A84 - 有利 - 2026-03-05 18:47:36 UTC,1,5.627221448083121,8.627221448083121,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03050977.wav
A84,有利,2026-03-05 18:47:36 UTC,A84 - 有利 - 2026-03-05 18:47:36 UTC,2,9.107940892803414,12.107940892803414,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03050977.wav
A84,有利,2026-03-12 04:19:15 UTC,A84 - 有利 - 2026-03-12 04:19:15 UTC,1,8.907307898046835,14.907307898046835,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03120910.wav
A84,有利,2026-03-13 03:31:17 UTC,A84 - 有利 - 2026-03-13 03:31:17 UTC,1,8.033630910474395,11.033630910474395,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03130511.wav
A84,有利,2026-03-13 03:31:17 UTC,A84 - 有利 - 2026-03-13 03:31:17 UTC,2,10.588215195660041,13.588215195660041,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03130511.wav
A84,有利,2025-07-29 00:22:37 UTC,A84 - 有利 - 2025-07-29 00:22:37 UTC,1,0.3824404318136376,3.3824404318136376,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/07290337.wav
A84,有利,2025-07-29 00:22:37 UTC,A84 - 有利 - 2025-07-29 00:22:37 UTC,2,5.235769620720776,8.235769620720776,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/07290337.wav
A84,有利,2025-08-01 23:16:14 UTC,A84 - 有利 - 2025-08-01 23:16:14 UTC,1,0,9,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08010685.wav
