owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
A89,土庫北,2025-03-19 19:11:04 UTC,A89 - 土庫北 - 2025-03-19 19:11:04 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250319_191104_Pm3gdMw3.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250319_191104_Pm3gdMw3.wav
A89,土庫北,2025-04-24 01:22:21 UTC,A89 - 土庫北 - 2025-04-24 01:22:21 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250424_012221_aehnPZ2s.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250424_012221_aehnPZ2s.wav
A89,土庫北,2025-05-08 02:57:20 UTC,A89 - 土庫北 - 2025-05-08 02:57:20 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250508_025720_QvQnFSud.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250508_025720_QvQnFSud.wav
A89,土庫北,2025-05-08 03:00:27 UTC,A89 - 土庫北 - 2025-05-08 03:00:27 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250508_030027_hzhDEqvx.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250508_030027_hzhDEqvx.wav
A89,土庫北,2025-05-08 03:52:13 UTC,A89 - 土庫北 - 2025-05-08 03:52:13 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250508_035213_4kSVYNS8.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250508_035213_4kSVYNS8.wav
A89,土庫北,2025-05-08 03:59:35 UTC,A89 - 土庫北 - 2025-05-08 03:59:35 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250508_035935_BVLGYPJk.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250508_035935_BVLGYPJk.wav
A50,土庫南,2024-04-02 20:18:28 UTC,A50 - 土庫南 - 2024-04-02 20:18:28 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240402_201828_mUothT5a.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240402_201828_mUothT5a.wav
A50,土庫南,2024-04-03 21:40:11 UTC,A50 - 土庫南 - 2024-04-03 21:40:11 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240403_214011_FDM9xaCo.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_214011_FDM9xaCo.wav
A50,土庫南,2024-04-03 23:37:00 UTC,A50 - 土庫南 - 2024-04-03 23:37:00 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240403_233700_2aMZKgUq.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_233700_2aMZKgUq.wav
A50,土庫南,2024-04-03 23:41:30 UTC,A50 - 土庫南 - 2024-04-03 23:41:30 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240403_234130_8ggAdEMh.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_234130_8ggAdEMh.wav
A50,土庫南,2024-04-03 23:47:55 UTC,A50 - 土庫南 - 2024-04-03 23:47:55 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240403_234755_SMJMfC5Z.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_234755_SMJMfC5Z.wav
A50,土庫南,2024-04-14 00:06:32 UTC,A50 - 土庫南 - 2024-04-14 00:06:32 UTC,18333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240414_000632_dnYXvn6j.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240414_000632_dnYXvn6j.wav
A50,土庫南,2024-07-03 00:09:57 UTC,A50 - 土庫南 - 2024-07-03 00:09:57 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240703_000957_gQixXdBn.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240703_000957_gQixXdBn.wav
A50,土庫南,2024-07-03 00:22:18 UTC,A50 - 土庫南 - 2024-07-03 00:22:18 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240703_002218_Yb6bkvUF.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240703_002218_Yb6bkvUF.wav
A50,土庫南,2024-07-04 04:18:24 UTC,A50 - 土庫南 - 2024-07-04 04:18:24 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240704_041824_7jSm9ixW.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240704_041824_7jSm9ixW.wav
